raining	70.462 0.576 0.592 0.87 21.5
woodh	3.982 141.426 0.032 34.666 15.894
yellow	0.52 1.986 44.822 20.684 45.988
four	146.492 0.05 172.7 0.744 0.014
woods	0.006 0.024 129.216 0.048 6.706
hanging	1.222 294.212 260.352 0.182 0.032
francesca	0.714 6.104 0.006 0.012 1.164
looking	25.072 377.084 0.008 0.082 511.754
43_1792	0.186 14.25 19.632 0.756 3.176
mumblish	0.07 0.236 0.312 0.244 0.138
meadows	0.008 108.566 3.114 141.63 5.682
hacked	9.066 0.052 0.05 0.042 4.79
deli	1022.5 0.036 137.104 1.952 266.412
uofm	0.016 0.632 0.95 0.182 0.22
hangin'	0.122 2.19 27.93 4.642 0.116
oceana	2.052 7.626 2.772 0.016 1.534
screaming	0.002 37.826 0.078 7.566 1.528
2032_60	0.05 0.41 1.092 0.438 0.01
tired	0.014 0.02 129.08 0.01 256.876
1796_32	10.332 0.048 0.006 0.03 10.584
bacon	27.39 0.394 2.096 171.392 58.728
second	149.206 0.112 582.188 109.118 0.376
300_1811	0.194 4.696 2.342 0.034 2.734
maloney	0.05 10.71 0.222 0.014 0.004
1405_1531	0.134 0.444 0.986 0.258 0.178
20_22	121.132 1.154 5.36 44.18 0.174
thunder	0.088 41.512 8.282 0.044 0.074
20_20	12.15 56.366 114.848 0.61 0.026
cooking	0.18 124.44 0.112 0.094 0.174
fingers	67.508 0.572 29.516 0.01 0.394
105_280	0.336 0.368 0.304 0.62 0.372
rafaella	0.054 0.194 0.158 10.488 0.106
1811_1810	0.004 0.066 0.296 0.242 12.392
dors	0.05 0.266 0.264 0.252 0.168
aja	0.016 0.02 22.716 0.102 2.146
pedro's	0.182 0.062 70.422 0.33 0.004
lgbt	8.878 1.038 0.126 2.458 0.5
1806_25	2.356 2.698 86.978 74.8 0.168
1806_27	4.826 44.612 0.312 0.286 109.964
1806_28	0.148 0.032 0.084 4.694 1.042
kids	110.526 149.944 13.928 283.6 0.002
50_1792	27.618 0.148 35.112 0.086 0.036
s'moreo	0.072 0.292 0.294 0.204 0.138
1780_1479	0.458 0.836 0.276 0.174 0.256
gayvonne	0.066 0.262 0.32 0.232 0.12
golden	0.504 139.518 0.004 86.956 0.018
gainsbourg	0.254 0.856 0.334 1.284 0.272
replace	31.356 0.294 0.726 0.498 0.126
brought	85.634 0.03 58.328 0.006 0.002
carb	0.132 13.61 0.038 0.178 0.042
24_2416	0.01 0.194 0.004 0.002 19.79
stern	149.838 95.988 0.026 0.116 0.032
60_1255	0.076 8.284 1.42 2.424 1.796
cheating	0.026 0.202 0.454 1.238 29.08
music	79.158 948.116 634.43 1.322 80.974
719_1725	0.03 15.828 0.12 2.992 0.03
strike	0.108 0.218 96.622 0.038 0.014
344_2117	0.064 0.556 0.06 44.174 0.146
2686	0.336 0.958 78.884 4.788 0.034
27_27	30.558 0.286 8.976 0.14 0.04
wafels	2.022 5.72 0.54 0.196 43.522
holy	1.278 0.17 180.686 117.882 94.984
relax	0.092 64.348 0.054 0.16 25.346
taishu	0.006 0.012 14.954 0.02 0.008
taisho	0.012 0.028 42.928 0.022 0.01
98	0.036 0.076 2.636 523.438 20.814
1792_2031	0.01 0.026 10.822 0.132 0.01
friendsgiving	0.068 0.23 0.316 0.242 0.144
hole	0.532 0.044 72.974 156.25 0.2
hold	73.96 0.484 47.202 0.006 2.348
1857_1222	1.214 3.68 0.12 1.306 0.68
97	0.008 0.044 0.658 271.636 8.654
96	0.068 0.256 19.296 79.376 0.004
bklyn	0.382 7.148 0.032 121.424 0.014
